Principle number,Principle,Indian Position,Remarks,Sub-heading,Topic,number_of_words_Principle,number_of_words_Indian_Position,Pattern_Removed_Principle,Pattern_Removed_Indian_Position,Stopwords_Removed_Principle,Stopwords_Removed_Indian_Position,number_of_words_stopwords_removed_Principle,number_of_words_stopwords_removed_Indian_Position
1.1,"The Basel Committee recommends that banks, in regular financial reporting and other public disclosures, provide timely information, which facilitates market participants’ assessment of banks. It has identified the following six broad categories of information, each of which should be addressed in clear terms and appropriate detail to help achieve a satisfactory level of bank transparency:

financial performance;
financial position (including capital, solvency and liquidity);
risk management strategies and practices;
risk exposures (including credit risk, market risk, liquidity risk, and operational, legal and other risks);
accounting policies; and
basic business, management and corporate governance information.","Banks’ financial reporting broadly encompasses financial performance and financial position (excluding liquidity) and accounting policies. As regards information on basic business management and corporate governance, wide range practices are prevalent from elaborate disclosures to very little information.",All these six broad categories of information should be provided as public information.,1.0 General Level,Enhancing Bank Transparency,94,37,"The Basel Committee recommends that banks, in regular financial reporting and other public disclosures, provide timely information, which facilitates market participants’ assessment of banks. It has identified the following six broad categories of information, each of which should be addressed in clear terms and appropriate detail to help achieve a satisfactory level of bank transparency:financial performance;financial position;risk management strategies and practices;risk exposures;accounting policies; andbasic business, management and corporate governance information.","Banks’ financial reporting broadly encompasses financial performance and financial position and accounting policies. As regards information on basic business management and corporate governance, wide range practices are prevalent from elaborate disclosures to very little information.","The Basel Committee recommends that banks, regular financial reporting and other public disclosures, provide timely information, facilitates market participants’ assessment banks. It identified following six broad categories information, each should addressed clear terms and appropriate detail help achieve satisfactory level bank transparency:financial performance;financial position;risk management strategies and practices;risk exposures;accounting policies; andbasic business, management and corporate governance information.","Banks’ financial reporting broadly encompasses financial performance and financial position and accounting policies. As regards information on basic business management and corporate governance, wide range practices prevalent from elaborate disclosures very little information.",57,33
1.2,The scope and content of information provided and the level of disaggregation and detail should be commensurate with the size and nature of a bank’s operations. The method of measurement will however depend on applicable accounting standard.,"Irrespective of the size and nature of a bank’s operations, the scope and content of information provided tend to be more or less standardised with less disaggregation and detail.",,1.0 General Level,Enhancing Bank Transparency,37,29,The scope and content of information provided and the level of disaggregation and detail should be commensurate with the size and nature of a bank’s operations. The method of measurement will however depend on applicable accounting standard.,"Irrespective of the size and nature of a bank’s operations, the scope and content of information provided tend to be more or less standardised with less disaggregation and detail.",The scope and content information provided and level disaggregation and detail should commensurate with size and nature bank’s operations. The method measurement will however depend on applicable accounting standard.,"Irrespective size and nature bank’s operations, scope and content information provided tend more or less standardised with less disaggregation and detail.",29,21
1.3,"In countries with less developed financial markets, supervisors may need to establish a more comprehensive supervisory reporting system covering these six broad categories of information to compensate for inadequacies in publicly disclosed information.",This principle is acceptable. The level of compliance in respect of each of the six broad categories is assessed in detail under item 2.0.,,1.0 General Level,Enhancing Bank Transparency,33,24,"In countries with less developed financial markets, supervisors may need to establish a more comprehensive supervisory reporting system covering these six broad categories of information to compensate for inadequacies in publicly disclosed information.",This principle is acceptable. The level of compliance in respect of each of the six broad categories is assessed in detail under item 2.0.,"In countries with less developed financial markets, supervisors may need establish more comprehensive supervisory reporting system covering these six broad categories information compensate inadequacies publicly disclosed information.",This principle acceptable. The level compliance respect each six broad categories assessed detail under item 2.0.,27,16
2.1.1,"Information about the performance of a bank, in particular about its profitability, and the variability of those profits over time, is necessary to assess potential changes in financial position and future potential to repay deposits and liabilities, to make distributions to owners, and to contribute to capital growth. Information about profits and losses and their components over recent and earlier periods, helps form assessments of future financial performance and cash flows. It also helps assess the effectiveness with which a bank has employed its resources. Useful information includes basic quantitative indicators of financial performance, breakdowns of income and expenses, and management’s discussion and analysis of financial performance.","RBI is committed to enhance and improve the levels of transparency and disclosure in the annual accounts of banks. The formats for preparation of financial statements are prescribed under Section 29 of the Banking Regulation Act.

Banks are mandated to disclose additional information as part of annual financial statements:

Capital Adequacy Ratio;
Tier I ratio;
Tier II ratio;
Percentage of shareholding of the Government of India in nationalised banks;
Net NPL ratio;
Amount of provision made towards NPLs and provisions for income-tax for the year;
Amount of subordinated debt raised as Tier II capital;
Gross value of investments, provision for depreciation on investments and net value of investments separately for within India and outside India;
Interest income as percentage to working funds;
Non-interest income as a percentage to working funds;
Operating profit as a percentage to working funds;
Return on assets; business (deposits and advances) per employee
Profit per employee;
Maturity pattern of certain assets and liabilities;
Movement in NPLs;
Foreign currency assets and liabilities;
Lending to sensitive sectors as defined from time to time.","However, we would have to go beyond these disclosures to provide for more disaggregated information including data on variability of profits over time. Further areas of disclosure of information relating to financial performance could include:

Contribution of different activities and regions
Impact of non accrual and impaired assets on financial performance
Effect of hedging activities on income and expenses
Income effect of securitisation",2.0 Details in disclosure 2.1 Financial Performance,Enhancing Bank Transparency,107,175,"Information about the performance of a bank, in particular about its profitability, and the variability of those profits over time, is necessary to assess potential changes in financial position and future potential to repay deposits and liabilities, to make distributions to owners, and to contribute to capital growth. Information about profits and losses and their components over recent and earlier periods, helps form assessments of future financial performance and cash flows. It also helps assess the effectiveness with which a bank has employed its resources. Useful information includes basic quantitative indicators of financial performance, breakdowns of income and expenses, and management’s discussion and analysis of financial performance.","RBI is committed to enhance and improve the levels of transparency and disclosure in the annual accounts of banks. The formats for preparation of financial statements are prescribed under Section 29 of the Banking Regulation Act.Banks are mandated to disclose additional information as part of annual financial statements:Capital Adequacy Ratio;Tier I ratio;Tier II ratio;Percentage of shareholding of the Government of India in nationalised banks;Net NPL ratio;Amount of provision made towards NPLs and provisions for income-tax for the year;Amount of subordinated debt raised as Tier II capital;Gross value of investments, provision for depreciation on investments and net value of investments separately for within India and outside India;Interest income as percentage to working funds;Non-interest income as a percentage to working funds;Operating profit as a percentage to working funds;Return on assets; business per employeeProfit per employee;Maturity pattern of certain assets and liabilities;Movement in NPLs;Foreign currency assets and liabilities;Lending to sensitive sectors as defined from time to time.","Information about performance bank, particular about its profitability, and variability profits over time, necessary assess potential changes financial position and future potential repay deposits and liabilities, make distributions owners, and contribute capital growth. Information about profits and losses and their components over recent and earlier periods, helps form assessments future financial performance and cash flows. It also helps assess effectiveness with bank employed its resources. Useful information includes basic quantitative indicators financial performance, breakdowns income and expenses, and management’s discussion and analysis financial performance.","RBI committed enhance and improve levels transparency and disclosure annual accounts banks. The formats preparation financial statements prescribed under Section 29 Banking Regulation Act.Banks mandated disclose additional information as part annual financial statements:Capital Adequacy Ratio;Tier I ratio;Tier II ratio;Percentage shareholding Government India nationalised banks;Net NPL ratio;Amount provision made towards NPLs and provisions income-tax year;Amount subordinated debt raised as Tier II capital;Gross value investments, provision depreciation on investments and net value investments separately within India and outside India;Interest income as percentage working funds;Non-interest income as percentage working funds;Operating profit as percentage working funds;Return on assets; business per employeeProfit per employee;Maturity pattern certain assets and liabilities;Movement NPLs;Foreign currency assets and liabilities;Lending sensitive sectors as defined from time time.",84,116
2.1.2,"To assess the financial performance of a bank, it is essential to have a breakdown of income and expenses incurred. This information is necessary to assess the quality of earnings, to identify the reasons for changes in a given bank’s profitability from year to year and to compare the financial performance of different banks. Information on financial performance typically includes an income statement that groups income and expenses by nature or function within the bank. The income statement usually includes items for interest income and expense, fees and commissions, other non-interest income, operating expenses, charge for credit losses, any extraordinary items, tax expenses and net income.","The income statement usually includes items for interest income and expense, fees and commissions, other non-interest income, operating expenses, charge for credit losses, any extraordinary items, tax expenses and net income.

However, complete breakdown of income is not furnished in banks’ financial reporting making a meaningful assessment of the quality of income and inter-bank comparison difficult. Such break-up should be standardised and mandated for disclosure.",,2.0 Details in disclosure 2.1 Financial Performance,Enhancing Bank Transparency,106,65,"To assess the financial performance of a bank, it is essential to have a breakdown of income and expenses incurred. This information is necessary to assess the quality of earnings, to identify the reasons for changes in a given bank’s profitability from year to year and to compare the financial performance of different banks. Information on financial performance typically includes an income statement that groups income and expenses by nature or function within the bank. The income statement usually includes items for interest income and expense, fees and commissions, other non-interest income, operating expenses, charge for credit losses, any extraordinary items, tax expenses and net income.","The income statement usually includes items for interest income and expense, fees and commissions, other non-interest income, operating expenses, charge for credit losses, any extraordinary items, tax expenses and net income.However, complete breakdown of income is not furnished in banks’ financial reporting making a meaningful assessment of the quality of income and inter-bank comparison difficult. Such break-up should be standardised and mandated for disclosure.","To assess financial performance bank, essential have breakdown income and expenses incurred. This information necessary assess quality earnings, identify reasons changes given bank’s profitability from year year and compare financial performance different banks. Information on financial performance typically includes income statement that groups income and expenses nature or function within bank. The income statement usually includes items interest income and expense, fees and commissions, other non-interest income, operating expenses, charge credit losses, any extraordinary items, tax expenses and net income.","The income statement usually includes items interest income and expense, fees and commissions, other non-interest income, operating expenses, charge credit losses, any extraordinary items, tax expenses and net income.However, complete breakdown income not furnished banks’ financial reporting making meaningful assessment quality income and inter-bank comparison difficult. Such break-up should standardised and mandated disclosure.",80,53
2.1.3,The notes to the income statement provide additional detail on important income and expense categories.,"Notes containing details, wherever necessary, are being given.",,2.0 Details in disclosure 2.1 Financial Performance,Enhancing Bank Transparency,15,8,The notes to the income statement provide additional detail on important income and expense categories.,"Notes containing details, wherever necessary, are being given.",The notes income statement provide additional detail on important income and expense categories.,"Notes containing details, wherever necessary, being given.",13,7
2.1.4,"For the purpose of assessing sustainability of profits, it is essential that the impact of acquisitions and lines of business discontinued during the year be disclosed.","Mergers and acquisition as also discontinuance of a line of business are new for the Indian banking industry. In the few cases in which these have occurred so far, only general assessments of their impact is given in the balance sheet.",Banks should be asked to make more quantitative assessment of their impact on profitability and disclose it in their balance sheet.,2.0 Details in disclosure 2.1 Financial Performance,Enhancing Bank Transparency,26,41,"For the purpose of assessing sustainability of profits, it is essential that the impact of acquisitions and lines of business discontinued during the year be disclosed.","Mergers and acquisition as also discontinuance of a line of business are new for the Indian banking industry. In the few cases in which these have occurred so far, only general assessments of their impact is given in the balance sheet.","For purpose assessing sustainability profits, essential that impact acquisitions and lines business discontinued during year disclosed.","Mergers and acquisition as also discontinuance line business new Indian banking industry. In few cases these have occurred so far, only general assessments their impact given balance sheet.",16,28
2.1.5,"Key figures and ratios should include the return on average equity, return on average assets, net interest margin (net interest income divided by average interest earning assets), and cost-to-income ratio.",All these ratios are disclosed as per the regulatory requirements in this regard.,,2.0 Details in disclosure 2.1 Financial Performance,Enhancing Bank Transparency,30,13,"Key figures and ratios should include the return on average equity, return on average assets, net interest margin, and cost-to-income ratio.",All these ratios are disclosed as per the regulatory requirements in this regard.,"Key figures and ratios should include return on average equity, return on average assets, net interest margin, and cost-to-income ratio.",All these ratios disclosed as per regulatory requirements this regard.,20,10
2.1.6,"Business and geographical segment information aids in the analysis of past performance and assists in assessing future prospects. The user of financial information can achieve a better understanding of a bank’s overall financial performance if the bank discloses the contribution of different activities and regions to overall financial performance. In particular, this information helps the user assess the extent of diversification in the bank’s business and the contribution of specific business segments and regions that may be considered to be of a higher risk. It also facilitates awareness of the impact of significant changes, e.g., due to regional disturbances, on the bank as a whole.",A break-up of contribution of different activities to assess the diversification in banks’ business and contribution of different business lines is necessary. Banks should be asked to make these disclosures in their balance sheet. A timeframe of two or three years may be stipulated for this purpose.,,2.0 Details in disclosure 2.1 Financial Performance,Enhancing Bank Transparency,105,47,"Business and geographical segment information aids in the analysis of past performance and assists in assessing future prospects. The user of financial information can achieve a better understanding of a bank’s overall financial performance if the bank discloses the contribution of different activities and regions to overall financial performance. In particular, this information helps the user assess the extent of diversification in the bank’s business and the contribution of specific business segments and regions that may be considered to be of a higher risk. It also facilitates awareness of the impact of significant changes, e.g., due to regional disturbances, on the bank as a whole.",A break-up of contribution of different activities to assess the diversification in banks’ business and contribution of different business lines is necessary. Banks should be asked to make these disclosures in their balance sheet. A timeframe of two or three years may be stipulated for this purpose.,"Business and geographical segment information aids analysis past performance and assists assessing future prospects. The user financial information can achieve better understanding bank’s overall financial performance if bank discloses contribution different activities and regions overall financial performance. In particular, this information helps user assess extent diversification bank’s business and contribution specific business segments and regions that may considered higher risk. It also facilitates awareness impact significant changes, e.g., due regional disturbances, on bank as whole.",A break-up contribution different activities assess diversification banks’ business and contribution different business lines necessary. Banks should asked make these disclosures their balance sheet. A timeframe two or three years may stipulated this purpose.,75,34
2.1.7,"Management has a detailed knowledge of the business that outsiders cannot have. Therefore, management can greatly assist both the market and supervisors by discussing the main factors that influenced a bank’s financial performance for the year, by explaining differences in performance between the current year and previous years and by discussing factors they believe will have a significant influence on the bank’s future financial performance.",This type of information is usually provided in management or director’s report to the market or supervisors to arrive at meaningful inferences.,Factors that impact current and next year’s profitability should necessarily be discussed explicitly as part of the Management Discussions and Analysis.,2.0 Details in disclosure 2.1 Financial Performance,Enhancing Bank Transparency,65,22,"Management has a detailed knowledge of the business that outsiders cannot have. Therefore, management can greatly assist both the market and supervisors by discussing the main factors that influenced a bank’s financial performance for the year, by explaining differences in performance between the current year and previous years and by discussing factors they believe will have a significant influence on the bank’s future financial performance.",This type of information is usually provided in management or director’s report to the market or supervisors to arrive at meaningful inferences.,"Management detailed knowledge business that outsiders cannot have. Therefore, management can greatly assist both market and supervisors discussing main factors that influenced bank’s financial performance year, explaining differences performance between current year and previous years and discussing factors they believe will have significant influence on bank’s future financial performance.",This type information usually provided management or director’s report market or supervisors arrive meaningful inferences.,49,15
