clean_text,reminder system,reward programme,misselling,product pricing,customer service,output,label
sms reminders creditcardco vague cryptic supposed remember due date without clear information confusingmessages,0.9953102469444275,0.0003027682250831276,0.0003205117827747017,0.00011628488573478535,0.003950188402086496,reminder system,reminder system
credit card rewards program creditcardco convoluted even figure redeem points rewardfrustration,0.00016728347691241652,0.9993393421173096,0.00018461536092218012,9.191992285195738e-05,0.00021679847850464284,reward programme,reward programme
hey creditcardco integrating payment reminder ales viual assistant platforms like siri google assistant would make convenient customers stay informed paymentreminders,0.9742342233657837,0.0016151185845956206,0.0004649614274967462,0.0005899136886000633,0.02309577539563179,reminder system,reminder system
discovered creditcardco called exclusive offer retired pensioners nothing trap hidden fees high costs pushing financial hardship deceptivesales misselling,0.00019793430692516267,0.00046790234046056867,0.9972398281097412,0.0018819398246705532,0.00021246391406748444,misselling,misselling
notification creditcardco changes credit limit arrived already made large purchase poor timing lack consideration untimelycommunication,0.1713162213563919,0.03086029924452305,0.14196106791496277,0.0060670278035104275,0.6497954726219177,customer service,reminder system
feeling betrayed creditcardco marketed product specifically retired pensioners promising financial security burdened unmanageable debt targetedexploitation misselling,7.306366751436144e-05,0.00013896540622226894,0.99924236536026,0.00024202694476116449,0.00030359241645783186,misselling,misselling
trusted creditcardco products suitable retired pensioners took advantage vulnerability high cost product sold causing immense financial stress predatorypractices misselling,7.197848026407883e-05,0.0001247543259523809,0.9959533214569092,0.003686537966132164,0.0001634337822906673,misselling,misselling
loyal customer creditcardco reward program feels like one sided deal annual fee keeps increasing rewards keep shrinking unbalanced,0.0017032435862347484,0.9811091423034668,0.009017568081617355,0.0003113408456556499,0.007858704775571823,reward programme,reward programme
creditcardco reward program needs major overhaul accumulated many points redemption options lackluster uninspiring rewardprogramfail,0.00016554011381231248,0.9991084933280945,0.0006684702238999307,1.6167805370059796e-05,4.127814099774696e-05,reward programme,reward programme
feeling betrayed creditcardco marketed product specifically retired pensioners promising financial security burdened unmanageable debt targetedexploitation misselling,7.306366751436144e-05,0.00013896540622226894,0.99924236536026,0.00024202694476116449,0.00030359241645783186,misselling,misselling
feeling frustrated creditcardco reward program points expire quickly making impossible save meaningful redemption shoexpiration,0.0006619472987949848,0.9982576966285706,0.00044074893230572343,0.00014383190136868507,0.0004957917262800038,reward programme,reward programme
due date reminders creditcardco easily overlooked cluttered inbox need attention grabbing format subject line getnoticed,0.9882746338844299,0.0006251964950934052,0.0034412206150591373,0.0007118635694496334,0.006946993991732597,reminder system,reminder system
choosing right credit card requires careful consideration interest rates fees rewards programs impoant compare options making decision creditcardselection,0.008279222063720226,0.7471091747283936,0.05080480873584747,0.008368794806301594,0.18543802201747894,reward programme,reward programme
creditcardco always send impoant updates weekends holidays customer service unavailable inconvenient frustrating pooiming,0.00021950296650175005,4.7836132580414414e-05,0.0006214935565367341,0.0011400248622521758,0.9979711771011353,customer service,reminder system
feeling scammed creditcardco convinced purchase high cost product promising incredible benefits turned total rip fraudulentsales misselling,3.03423912555445e-05,0.00014135891979094595,0.9982954859733582,0.0010894362349063158,0.00044327156501822174,misselling,misselling
apologize inconvenience caused pricing structure rest assured committed providing competitive transparent pricing benefits customers thank feedback transparentpolicies,0.014519225805997849,0.04161595553159714,0.036914337426424026,0.08069652318954468,0.8262539505958557,customer service,product pricing
creditcardco high default interest rates like want profit people financial struggles exploitativepricing,0.07008980959653854,0.07572753727436066,0.6382162570953369,0.12282761186361313,0.09313873946666718,misselling,product pricing
thank bringing issue altered product pricing attention value feedback committed considering impact customers making changes customerfirst,4.845361763727851e-05,6.894888065289706e-05,8.839822839945555e-05,0.996940553188324,0.002853683428838849,product pricing,product pricing
apologize inconvenience caused pricing structure feedback impoant committed evaluating adjusting fees better align customer needs thank input customercentricapproach,0.005863352213054895,0.01665516197681427,0.016271650791168213,0.03398067504167557,0.9272292256355286,customer service,product pricing
thank bringing issue product pricing attention value feedback dedicated ensuring pricing changes communicated effectively customer impact mind customerfeedbackmatters,9.851851791609079e-05,0.00017778918845579028,0.0001265709288418293,0.9977851510047913,0.0018119349842891097,product pricing,product pricing
thank bringing issue product pricing attention value feedback dedicated ensuring pricing changes communicated effectively customer impact mind customerfeedbackmatters,9.851851791609079e-05,0.00017778918845579028,0.0001265709288418293,0.9977851510047913,0.0018119349842891097,product pricing,product pricing
thank sharing concerns altered product pricing genuinely appreciate feedback committed considering impact customers making pricing decisions customerimpactconsidered,0.0015060390578582883,0.0027648769319057465,0.002253682352602482,0.9767373204231262,0.016738034784793854,product pricing,product pricing
thank bringing issue product pricing attention value feedback dedicated ensuring pricing changes communicated effectively customer impact mind customerfeedbackmatters,9.851851791609079e-05,0.00017778918845579028,0.0001265709288418293,0.9977851510047913,0.0018119349842891097,product pricing,product pricing
dear creditcardco offering two day grace period payment due date could helpful customers occasionally miss deadline paymentreminders,0.3421068787574768,0.08209439367055893,0.010076035745441914,0.027910500764846802,0.5378121733665466,customer service,reminder system
apologize inconvenience caused timing communication feedback impoant working enhancing communication strategies ensure timely effective delivery thank patience improvedtimeliness,0.2053295522928238,0.056517455726861954,0.09081575274467468,0.025029819458723068,0.6223073601722717,customer service,reminder system
hey creditcardco sending payment reminders day due date counterproductive give customers enough time respond lastminutereminder,0.7089265584945679,0.020183298736810684,0.11301781237125397,0.0013644291320815682,0.15650787949562073,reminder system,reminder system
creditcardco always send impoant updates peak business hours difficult reach customer service consider availability inconvenienttiming,0.013678507879376411,0.0031084835063666105,0.02459261566400528,0.002902263542637229,0.9557181596755981,customer service,reminder system
apologize inconvenience caused timing communication feedback impoant working enhancing communication strategies ensure timely effective delivery thank patience improvedtimeliness,0.2053295522928238,0.056517455726861954,0.09081575274467468,0.025029819458723068,0.6223073601722717,customer service,reminder system
hey creditcardco sending payment due reminders due date passed counterproductive improve timing latereminder,0.4028008282184601,0.035004787147045135,0.11437796801328659,0.007534375414252281,0.44028204679489136,customer service,reminder system
credit card rewards programs offer value essential assess spending habits choose program aligns personal preferences rewardsevaluation,0.00020169281924609095,0.9990765452384949,0.000300212181173265,8.289251127280295e-05,0.00033859044197015464,reward programme,reward programme
suggestion creditcardco implement mobile app feature sends push notifications payment reminders ensuring timely payments paymentreminders,0.7572669386863708,0.024171005934476852,0.011102343909442425,0.012206442654132843,0.19525328278541565,reminder system,reminder system
