text,reminder system,reward programme,misselling,product pricing,customer service,output,label
 The SMS reminders from CreditCardCo are so vague and cryptic. How am I supposed to remember the due date without clear information#ConfusingMessages,0.8179545998573303,0.018117276951670647,0.0523245669901371,0.004203248303383589,0.1074003055691719,reminder system,reminder system
 The credit card rewards program from CreditCardCo is so convoluted that I can't even figure out how to redeem my points. #RewardFrustration,0.025174396112561226,0.9206588268280029,0.03814154490828514,0.004295357968658209,0.011729945428669453,reward programme,reward programme
" Hey CreditCardCo, integrating payment reminder ales with viual assistant platforms like Siri or Google Assistant would make it convenient for customers to stay informed. #PaymentReminders",0.7491130232810974,0.016850579530000687,0.01715252548456192,0.009035790339112282,0.20784805715084076,reminder system,reminder system
 Just discovered that CreditCardCo's so-called 'exclusive offer' for retired pensioners was nothing more than a trap. The hidden fees and high costs are pushing me into financial hardship. #DeceptiveSales #MisSelling,0.09071459621191025,0.017861006781458855,0.8753045201301575,0.008250427432358265,0.007869504392147064,misselling,misselling
 The notification from CreditCardCo about changes to my credit limit arrived after I had already made a large purchase. Poor timing and lack of consideration! #UntimelyCommunication,0.17139557003974915,0.07396864891052246,0.23623928427696228,0.02706902101635933,0.4913274943828583,customer service,reminder system
" Feeling betrayed by CreditCardCo. They marketed a product specifically for retired pensioners, promising financial security, but it only burdened me with unmanageable debt. #TargetedExploitation #MisSelling",0.06540728360414505,0.01758258230984211,0.8810791373252869,0.029819540679454803,0.006111450493335724,misselling,misselling
" I trusted CreditCardCo to have products suitable for retired pensioners, but they took advantage of my vulnerability. The high-cost product they sold me is causing immense financial stress. #PredatoryPractices #MisSelling",0.026323188096284866,0.0052349502220749855,0.850630521774292,0.11349833756685257,0.004312968347221613,misselling,misselling
" I've been a loyal customer, but CreditCardCo's reward program feels like a one-sided deal. The annual fee keeps increasing, while the rewards keep shrinking. #Unbalanced",0.03107278235256672,0.7882276177406311,0.13671579957008362,0.021805539727211,0.022178247570991516,reward programme,reward programme
" CreditCardCo, your reward program needs a major overhaul. I've accumulated so many points, but the redemption options are lackluster and uninspiring. #RewardProgramFail",0.02769636921584606,0.8575888276100159,0.08945400267839432,0.0036495293024927378,0.021611200645565987,reward programme,reward programme
" Feeling betrayed by CreditCardCo. They marketed a product specifically for retired pensioners, promising financial security, but it only burdened me with unmanageable debt. #TargetedExploitation #MisSelling",0.06540728360414505,0.01758258230984211,0.8810791373252869,0.029819540679454803,0.006111450493335724,misselling,misselling
"Feeling frustrated with CreditCardCo's reward program. The points expire too quickly, making it impossible to save up for any meaningful redemption. #ShoExpiration",0.06613154709339142,0.8052429556846619,0.0784725472331047,0.015749236568808556,0.034403711557388306,reward programme,reward programme
The due date reminders from CreditCardCo are easily overlooked in my cluttered inbox. They need a more attention-grabbing format or subject line. #GetNoticed,0.8007789254188538,0.015424557030200958,0.03865295276045799,0.006028501782566309,0.13911496102809906,reminder system,reminder system
"Choosing the right credit card requires careful consideration of interest rates, fees, and rewards programs. It's impoant to compare options before making a decision. #CreditCardSelection",0.2770942151546478,0.4020530581474304,0.018747540190815926,0.2562929689884186,0.04581213742494583,reward programme,reward programme
Why does CreditCardCo always send impoant updates on weekends or holidays when customer service is unavailable? Inconvenient and frustrating! #Pooiming,0.10127917677164078,0.008412846364080906,0.49346402287483215,0.005742811597883701,0.39110109210014343,misselling,reminder system
" Feeling scammed by CreditCardCo. They convinced me to purchase a high-cost product, promising incredible benefits, but it turned out to be a total rip-off. #FraudulentSales #MisSelling",0.027583222836256027,0.017238780856132507,0.8669823408126831,0.08322013169527054,0.004975545685738325,misselling,misselling
"2. We apologize for any inconvenience caused by our pricing structure. Rest assured, we are committed to providing competitive and transparent pricing that benefits our customers. Thank you for your feedback. #TransparentPolicies",0.3861159384250641,0.04560188576579094,0.12516865134239197,0.068790502846241,0.3743230402469635,reminder system,product pricing
7. Why does CreditCardCo have such high default interest rates? It's like they want to profit off people's financial struggles. #ExploitativePricing,0.2084392011165619,0.0072705792263150215,0.49839910864830017,0.2721001207828522,0.013791045174002647,misselling,product pricing
3. Thank you for bringing the issue of altered product pricing to our attention. We value your feedback and are committed to considering the impact on our customers before making any changes. #CustomerFirst,0.039404891431331635,0.002981833415105939,0.007458730135113001,0.7781910300254822,0.17196355760097504,product pricing,product pricing
"7. We apologize for any inconvenience caused by our pricing structure. Your feedback is impoant to us, and we are committed to evaluating and adjusting our fees to better align with customer needs. Thank you for your input. #CustomerCentricApproach",0.2370026409626007,0.048750001937150955,0.09857457131147385,0.05837392807006836,0.5572988986968994,customer service,product pricing
"3. Thank you for bringing the issue of product pricing to our attention. We value your feedback and are dedicated to ensuring that any pricing changes are communicated effectively, with customer impact in mind. #CustomerFeedbackMatters",0.03366253897547722,0.0048976498655974865,0.004791510757058859,0.8109781742095947,0.14567013084888458,product pricing,product pricing
"3. Thank you for bringing the issue of product pricing to our attention. We value your feedback and are dedicated to ensuring that any pricing changes are communicated effectively, with customer impact in mind. #CustomerFeedbackMatters",0.03366253897547722,0.0048976498655974865,0.004791510757058859,0.8109781742095947,0.14567013084888458,product pricing,product pricing
"18. Thank you for sharing your concerns about altered product pricing. We genuinely appreciate your feedback, and we are committed to considering the impact on our customers when making pricing decisions. #CustomerImpactConsidered",0.0607159361243248,0.007136502303183079,0.009961197152733803,0.6768396496772766,0.24534669518470764,product pricing,product pricing
"3. Thank you for bringing the issue of product pricing to our attention. We value your feedback and are dedicated to ensuring that any pricing changes are communicated effectively, with customer impact in mind. #CustomerFeedbackMatters",0.03366253897547722,0.0048976498655974865,0.004791510757058859,0.8109781742095947,0.14567013084888458,product pricing,product pricing
"4. Dear CreditCardCo, offering a two-day grace period after the payment due date could be helpful for customers who occasionally miss the deadline. #PaymentReminders",0.41020581126213074,0.010950055904686451,0.012987659312784672,0.006052772980183363,0.5598037242889404,customer service,reminder system
"14. We apologize for any inconvenience caused by the timing of our communication. Your feedback is impoant to us, and we are working on enhancing our communication strategies to ensure timely and effective delivery. Thank you for your patience. #ImprovedTimeliness",0.2608141005039215,0.08244726806879044,0.17414581775665283,0.05492912977933884,0.4276636838912964,customer service,reminder system
"16. Hey CreditCardCo, sending payment reminders on the day of the due date is counterproductive. Give customers enough time to respond! #LastMinuteReminder",0.4311909079551697,0.007252107374370098,0.34138011932373047,0.004925907589495182,0.21525098383426666,reminder system,reminder system
19. Why does CreditCardCo always send impoant updates during peak business hours when it's difficult to reach customer service? Consider our availability! #InconvenientTiming,0.1052868589758873,0.0214712992310524,0.16134138405323029,0.008381341584026814,0.7035191059112549,customer service,reminder system
"14. We apologize for any inconvenience caused by the timing of our communication. Your feedback is impoant to us, and we are working on enhancing our communication strategies to ensure timely and effective delivery. Thank you for your patience. #ImprovedTimeliness",0.2608141005039215,0.08244726806879044,0.17414581775665283,0.05492912977933884,0.4276636838912964,customer service,reminder system
"16. Hey CreditCardCo, sending payment due reminders after the due date has passed is counterproductive. Improve your timing! #LateReminder",0.5152940154075623,0.013749985024333,0.2719889283180237,0.010180648416280746,0.18878644704818726,reminder system,reminder system
"9. Credit card rewards programs can offer value, but it's essential to assess spending habits and choose a program that aligns with personal preferences. #RewardsEvaluation",0.10304640233516693,0.8240427374839783,0.036546286195516586,0.015807712450623512,0.020556962117552757,reward programme,reward programme
"3. Suggestion for CreditCardCo: Implement a mobile app feature that sends push notifications for payment reminders, ensuring timely payments. #PaymentReminders",0.8891035318374634,0.018537743017077446,0.010614916682243347,0.00618935888633132,0.07555457204580307,reminder system,reminder system
"12. Hey CreditCardCo, integrating payment reminder ales with viual assistant platforms like Siri or Google Assistant would make it convenient for customers to stay informed. #PaymentReminders",0.741136908531189,0.013613817282021046,0.02094137668609619,0.009326630271971226,0.21498115360736847,reminder system,reminder system
"14. Suggestion for CreditCardCo: Explore the option of sending payment reminders through social media platforms, like Twitter or Facebook, for quick and easy access. #PaymentReminders",0.9416152238845825,0.01908106543123722,0.007610047701746225,0.005609593354165554,0.02608403190970421,reminder system,reminder system
"15. Dear CreditCardCo, providing an option for customers to schedule payment reminder calls or texts at specific times that suit their preferences would be helpful. #PaymentReminders",0.37403973937034607,0.01278876606374979,0.010992157272994518,0.007768264040350914,0.5944110751152039,customer service,reminder system
17. Suggestion for CreditCardCo: Offering a dedicated mobile app widget that displays upcoming payment due dates on the home screen would serve as a constant reminder. #PaymentReminders,0.9507178664207458,0.011581617407500744,0.005162815097719431,0.00680721877142787,0.025730429217219353,reminder system,reminder system
"4. We understand the impoance of timely communication. Your feedback is valuable, and we are actively working to enhance the timing of our messages to better serve you. Thank you for your patience. #ImprovedTiming",0.15689240396022797,0.05594630911946297,0.06654707342386246,0.01871297135949135,0.7019012570381165,customer service,reminder system
13. Kudos to CreditCardCo for their interactive chatbot service for payment reminders. It's a user-friendly and accessible way to receive notifications. #PaymentReminders,0.8228200674057007,0.03697649762034416,0.0025485835503786802,0.008226488716900349,0.12942837178707123,reminder system,reminder system
"14. We apologize for any inconvenience caused by the timing of our communication. Your feedback is impoant to us, and we are working on enhancing our communication strategies to ensure timely and effective delivery. Thank you for your patience. #ImprovedTimeliness",0.2608141005039215,0.08244726806879044,0.17414581775665283,0.05492912977933884,0.4276636838912964,customer service,reminder system
17. The credit card I received from CreditCardCo doesn't match the features and rewards they adveised. It's a letdown. #MismatchedOffer,0.04809359833598137,0.2535618841648102,0.5924782156944275,0.015819964930415154,0.09004636108875275,misselling,reward programme
5. Curious to learn more about the new credit card schemes from CreditCardCo. Will they offer better rewards and perks compared to the existing ones? #Competition,0.2566923499107361,0.5736224055290222,0.03206846863031387,0.05786803737282753,0.07974873483181,reward programme,reward programme
"18. Received a promotional email from CreditCardCo about a limited-time offer, but it expired before I even read it. Improve your timing, please! #MissedOppounity",0.05720483139157295,0.09045227617025375,0.745804488658905,0.013997802510857582,0.09254052489995956,misselling,reminder system
2. Impressed with the generous rewards program offered by CreditCardCo. I've been able to earn valuable points and redeem them for amazing perks. #RewardingExperience,0.05398531258106232,0.9190328121185303,0.008009395562112331,0.005155667662620544,0.013816790655255318,reward programme,reward programme
"4. We understand the impoance of timely communication. Your feedback is valuable, and we are actively working to enhance the timing of our messages to better serve you. Thank you for your patience. #ImprovedTiming",0.15689240396022797,0.05594630911946297,0.06654707342386246,0.01871297135949135,0.7019012570381165,customer service,reminder system
9. The announcement from CreditCardCo about their schemes is generating buzz. I'll reserve my opinion until I have more information on the eligibility criteria and rewards structure. #InformedDecisions,0.357509970664978,0.47450727224349976,0.06377706676721573,0.037250347435474396,0.06695529818534851,reward programme,reward programme
Beware of CreditCardCo's tactics! They pushed me into a high-cost product that didn't suit my needs. Shameful sales practices. #DeceptiveSales #MisSelling,0.20753733813762665,0.002767054596915841,0.6927266716957092,0.09289737045764923,0.004071578849107027,misselling,misselling
Just discovered that CreditCardCo's so-called 'exclusive offer' for retired pensioners was nothing more than a trap. The hidden fees and high costs are pushing me into financial hardship. #DeceptiveSales #MisSelling,0.08072680234909058,0.016630737110972404,0.8878480792045593,0.007906504906713963,0.006887876894325018,misselling,misselling
"Just realized that the high-cost product I purchased with my credit card was completely misrepresented. CreditCardCo, this is unacceptable! #MisSold#Misselling",0.017106376588344574,0.0015642436919733882,0.9413408637046814,0.036331892013549805,0.003656702348962426,misselling,misselling
"2. Thanks to my credit card rewards program, I just redeemed my points for a free flight! Best feeling ever! #RewardsProgram",0.041551701724529266,0.9210726618766785,0.014376137405633926,0.005915803834795952,0.017083708196878433,reward programme,reward programme
"4. We apologize for the timing of our communication. Your feedback is valuable, and we're working to improve the effectiveness and relevance of our messages. Thank you for bringing it to our attention. #TimelyCommunication",0.3661538064479828,0.13857394456863403,0.24663035571575165,0.057375576347112656,0.19126631319522858,reminder system,reminder system
"5. Hey CreditCardCo, integrating payment reminders with popular personal finance apps would be convenient for users to stay on top of their payments. #PaymentReminders",0.837104082107544,0.014963665045797825,0.05644307658076286,0.008070331066846848,0.08341891318559647,reminder system,reminder system
"16. Credit card rewards can be earned through regular spending, but it's impoant to assess whether the benefits offset any potential interest charges or fees. #RewardsAssessment",0.24910560250282288,0.5263774394989014,0.09304697066545486,0.04498664662241936,0.08648332208395004,reward programme,reward programme
19. I'm grateful to CreditCardCo for their competitive cashback program. It's rewarding to earn money back on my spending. #CashbackBonanza,0.09599390625953674,0.8017488121986389,0.005231374874711037,0.014036362059414387,0.08298946917057037,reward programme,reward programme
"5. Received a credit card offer from CreditCardCo, but their rewards program doesn't align with my spending habits at all. Do your research! #MismatchedOffer",0.08072935044765472,0.6256364583969116,0.2718658745288849,0.0055938526056706905,0.016174476593732834,reward programme,reward programme
"11. Hey CreditCardCo, incorporating SMS-based payment reminders with a direct link for one-click payment could simplify the process for customers. #PaymentReminders",0.7605680823326111,0.011059426702558994,0.017994046211242676,0.006069363094866276,0.20430901646614075,reminder system,reminder system
4. It's refreshing to see a company take responsibility for mis-selling a credit card. Kudos to my bank for acknowledging the issue and working towards a fair resolution. Appreciate your commitment to customer satisfaction! #Accountability #Impressed,0.01726367697119713,0.007087335456162691,0.7362464666366577,0.0029911173041909933,0.2364114224910736,misselling,misselling
"5. Mis-selling incidents can be frustrating, but I'm glad my bank listened to my concerns and took corrective measures. They've regained my trust by addressing the situation promptly. Thank you for valuing your customers! #TrustRestored #HappyCustomer",0.03552262857556343,0.006702772341668606,0.5908598899841309,0.003122269408777356,0.36379241943359375,misselling,misselling
"7. Hats off to the bank for their transparency and accountability. They acknowledged the mis-selling of credit cards, reached out to affected customers, and offered suitable solutions. Refreshing to see such integrity! #Transparency #Impressive",0.08744560927152634,0.028114566579461098,0.7762501835823059,0.0054297251626849174,0.10275997966527939,misselling,misselling
"8. Got caught up in a mis-selling incident with my credit card, but the bank's resolution team was on top of it. They rectified the issue swiftly, leaving me with a positive impression. Thanks for the quick response! #EffectiveResolution #SatisfiedCustomer",0.024250077083706856,0.003572189947590232,0.45464521646499634,0.0019294627709314227,0.5156031250953674,customer service,misselling
"2. Seriously creditcardco, how can you justify the exorbitant annual fees and high interest rates? It feels like a rip-off. #UnfairPricing",0.11525870114564896,0.010012878105044365,0.7393158674240112,0.12241180986166,0.013000749051570892,misselling,product pricing
"3. creditcardco, your pricing structure is a maze I can't navigate. Hidden fees, penalties, and confusing terms make it impossible to understand what I'm paying for. #TransparencyPlease",0.43277066946029663,0.05499850586056709,0.4031975269317627,0.02983250841498375,0.079200878739357,reminder system,product pricing
4. Just got hit with unexpected charges from creditcardco. What's up with that? Can't you be more upfront about your pricing? #PriceSurprise,0.36277949810028076,0.030969489365816116,0.41926082968711853,0.07761284708976746,0.10937739908695221,misselling,product pricing
"6. As a loyal customer, I expect better from creditcardco. Your arbitrary pricing changes are leaving a sour taste in my mouth. #CustomerDissatisfaction",0.14221636950969696,0.022450583055615425,0.6548357009887695,0.025452468544244766,0.15504483878612518,misselling,product pricing
"8. Dear creditcardco, your tiered pricing system seems like a way to squeeze more money out of hardworking individuals. #PriceDiscrimination",0.473766565322876,0.0164280254393816,0.46168798208236694,0.03706670179963112,0.011050728149712086,reminder system,product pricing
9. I'm tired of creditcardco's unpredictable pricing. It's time for transparency and fair treatment of customers. #PriceStability,0.3048190474510193,0.019856905564665794,0.4756527543067932,0.02606099098920822,0.17361025512218475,misselling,product pricing
"10. Hey creditcardco, your pricing changes without warning are making it difficult for me to budget. Can we get some consistency, please? #BudgetingNightmare",0.22548943758010864,0.03430093824863434,0.08354060351848602,0.06498587876558304,0.5916831493377686,customer service,product pricing
"1. creditcardco, your pricing games are driving me crazy! It's like a never-ending roller coaster of charges and fees. #PriceMadness",0.3601413369178772,0.061395153403282166,0.1775510162115097,0.056949011981487274,0.34396347403526306,reminder system,product pricing
"3. It's frustrating how creditcardco lures customers with low introductory rates only to skyrocket them later. No more deceptive pricing, please! #FalsePromises",0.09257066994905472,0.008438014425337315,0.862021803855896,0.026435991749167442,0.010533441789448261,misselling,product pricing
"4. Dear creditcardco, your pricing tactics are predatory and unfair. Stop preying on people's financial vulnerability! #UnethicalPricing",0.6047287583351135,0.02086837776005268,0.3283438980579376,0.02966628409922123,0.01639265939593315,reminder system,product pricing
"6. Hey creditcardco, your hidden fees and fine print are a masterclass in deceptive pricing. Time to clean up your act! #PricingTricks",0.11204428225755692,0.004729984328150749,0.8725450038909912,0.007077308371663094,0.0036033957730978727,misselling,product pricing
"7. creditcardco, your pricing structure is a nightmare. It's like you want to confuse and frustrate your customers on purpose. #CustomerExploitation",0.07230246812105179,0.009600081481039524,0.8776623010635376,0.023906614631414413,0.016528518870472908,misselling,product pricing
"9. Hey creditcardco, your pricing is out of touch with reality. People are struggling, and you're making it worse with your unjust charges. #InsensitivePricing",0.3282419741153717,0.017572611570358276,0.5886334180831909,0.021625598892569542,0.04392649233341217,misselling,product pricing
"10. creditcardco, your pricing structure is designed to trap people in debt. It's time to prioritize financial well-being over profits. #DebtTrap",0.2178794890642166,0.00808788277208805,0.5918949246406555,0.17924846708774567,0.0028892357368022203,misselling,product pricing
"12. Dear creditcardco, your pricing changes are like a bad soap opera. Just when we think it's over, there's another twist. #NeverEndingFees",0.17321047186851501,0.02589648775756359,0.6595950722694397,0.057779185473918915,0.08351880311965942,misselling,product pricing
"13. creditcardco, your pricing transparency is non-existent. It's time to come clean and stop hiding behind confusing terms and conditions. #HiddenCharges",0.5382381081581116,0.024166131392121315,0.3593484163284302,0.03544814512133598,0.04279915615916252,reminder system,product pricing
"15. creditcardco, your pricing structure is a maze I can't escape. It's time for you to simplify and provide clarity to your customers. #PricingConfusion",0.5079401135444641,0.04212817922234535,0.23420503735542297,0.050130974501371384,0.1655956357717514,reminder system,product pricing
"16. Another month, another surprise fee from creditcardco. It's like they're making up charges just to see how much they can get away with. #FeeFrustration",0.2621900141239166,0.013625804334878922,0.6783196330070496,0.01929101161658764,0.026573549956083298,misselling,product pricing
13. Thank you for bringing the issue of altered product pricing to our attention. We take customer impact seriously and will carefully consider all aspects before making any changes in the future. #CustomerCentricApproach,0.03359637036919594,0.0028469942044466734,0.007544458378106356,0.907646894454956,0.0483652725815773,product pricing,product pricing
10. Tired of CreditCardCo's predatory pricing structure. They intentionally keep the interest rates sky-high to trap customers in debt. #PredatoryLending,0.5927362442016602,0.01594250462949276,0.14391714334487915,0.21222653985023499,0.03517754003405571,reminder system,product pricing
"12. We apologize if our pricing structure has caused any inconvenience. Your feedback is valuable, and we are actively reviewing and adjusting our fees and charges to better serve our customers. Thank you for your understanding. #CustomerOriented",0.13154292106628418,0.02794085070490837,0.06210795417428017,0.03652328997850418,0.7418849468231201,customer service,product pricing
"12. We apologize if our pricing structure has caused any inconvenience. Your feedback is valuable, and we are actively reviewing and adjusting our fees and charges to better serve our customers. Thank you for your understanding. #CustomerOriented",0.13154292106628418,0.02794085070490837,0.06210795417428017,0.03652328997850418,0.7418849468231201,customer service,product pricing
10. Frustrated with CreditCardCo's pricing structure. They purposely make the terms confusing to take advantage of customers' lack of understanding. #ExploitativePractices,0.06336495280265808,0.008370790630578995,0.8982057571411133,0.01572498306632042,0.014333577826619148,misselling,product pricing
"13. Thank you for bringing the issue of product pricing to our attention. We appreciate your feedback, and we are committed to considering customer impact and feedback when making pricing decisions. #CustomerFeedbackValued",0.06134536862373352,0.008814314380288124,0.007870529778301716,0.8723872900009155,0.049582406878471375,product pricing,product pricing
"13. Thank you for bringing the issue of product pricing to our attention. We appreciate your feedback, and we are committed to considering customer impact and feedback when making pricing decisions. #CustomerFeedbackValued",0.06134536862373352,0.008814314380288124,0.007870529778301716,0.8723872900009155,0.049582406878471375,product pricing,product pricing
"13. Thank you for bringing the issue of product pricing to our attention. We appreciate your feedback, and we are committed to considering customer impact and feedback when making pricing decisions. #CustomerFeedbackValued",0.06134536862373352,0.008814314380288124,0.007870529778301716,0.8723872900009155,0.049582406878471375,product pricing,product pricing
Feeling deceived by CreditCardCo's reward program. The enticing sign-up bonus turned out to be nearly impossible to achieve due to hidden spending requirements. #FalsePromises,0.027879051864147186,0.5192346572875977,0.446074515581131,0.002260721055790782,0.004550947807729244,reward programme,reward programme
Feeling frustrated with CreditCardCo's reminder system. It's unreliable and inconsistent. I can't afford to keep missing due dates! #LatePaymentIssues,0.8867469429969788,0.010338609106838703,0.04532838612794876,0.00498007470741868,0.05260602757334709,reminder system,reminder system
13. Received a notice from CreditCardCo about reducing the cashback percentage. They didn't consider how it would affect loyal customers. #RewardsDevaluation,0.1984778493642807,0.48953670263290405,0.19535377621650696,0.013189515098929405,0.10344219207763672,reward programme,reward programme
"Hey CreditCardCo, why do your reward points have such a low redemption value? It's disheaening to see how little my loyalty is woh. #UndervaluedRewards",0.06852426379919052,0.6340739130973816,0.1478082835674286,0.008574280887842178,0.1410192847251892,reward programme,reward programme
"Why is CreditCardCo still using carrier pigeons to send due date reminders? It's slow, unreliable, and leaves room for errors. #PigeonMailIssues",0.7933816909790039,0.010755760595202446,0.08709777146577835,0.004448022693395615,0.10431669652462006,reminder system,reminder system
