clean_text,reminder system,reward programme,misselling,product pricing,customer service,first_highest_label,second_highest_label,third_highest_label,label
sms reminders creditcardco vague cryptic supposed remember due date without clear information confusingmessages,0.9705931544303894,0.0027476511895656586,0.00794838648289442,0.0012544571654871106,0.017456337809562683,reminder system,customer service,misselling,reminder system
credit card rewards program creditcardco convoluted even figure redeem points rewardfrustration,0.001351007493212819,0.9934269189834595,0.0033192515838891268,0.0007113900501281023,0.0011914679780602455,reward programme,misselling,reminder system,reward programme
hey creditcardco integrating payment reminder ales viual assistant platforms like siri google assistant would make convenient customers stay informed paymentreminders,0.9359427094459534,0.0025802156887948513,0.001223297673277557,0.0014565883902832866,0.05879715085029602,reminder system,customer service,reward programme,reminder system
discovered creditcardco called exclusive offer retired pensioners nothing trap hidden fees high costs pushing financial hardship deceptivesales misselling,0.0019695486407727003,0.003971975762397051,0.9907729625701904,0.0017317935125902295,0.001553660025820136,misselling,reward programme,reminder system,misselling
notification creditcardco changes credit limit arrived already made large purchase poor timing lack consideration untimelycommunication,0.4047720432281494,0.034221697598695755,0.04068553447723389,0.030901413410902023,0.4894193112850189,customer service,reminder system,misselling,reminder system
feeling betrayed creditcardco marketed product specifically retired pensioners promising financial security burdened unmanageable debt targetedexploitation misselling,0.0011211594101041555,0.0012922381283715367,0.956479549407959,0.03997308388352394,0.0011339702177792788,misselling,product pricing,reward programme,misselling
trusted creditcardco products suitable retired pensioners took advantage vulnerability high cost product sold causing immense financial stress predatorypractices misselling,0.0012644132366403937,0.001403628964908421,0.5091294646263123,0.48702380061149597,0.0011786846444010735,misselling,product pricing,reward programme,misselling
loyal customer creditcardco reward program feels like one sided deal annual fee keeps increasing rewards keep shrinking unbalanced,0.001077020657248795,0.9487305283546448,0.046044282615184784,0.0016168839065358043,0.002531333127990365,reward programme,misselling,customer service,reward programme
creditcardco reward program needs major overhaul accumulated many points redemption options lackluster uninspiring rewardprogramfail,0.0012046254705637693,0.9953567981719971,0.0016220759134739637,0.0008604145259596407,0.0009559847530908883,reward programme,misselling,reminder system,reward programme
feeling betrayed creditcardco marketed product specifically retired pensioners promising financial security burdened unmanageable debt targetedexploitation misselling,0.0011211594101041555,0.0012922381283715367,0.956479549407959,0.03997308388352394,0.0011339702177792788,misselling,product pricing,reward programme,misselling
feeling frustrated creditcardco reward program points expire quickly making impossible save meaningful redemption shoexpiration,0.001996677601709962,0.9929593205451965,0.0024754912592470646,0.0011044195853173733,0.0014641379239037633,reward programme,misselling,reminder system,reward programme
due date reminders creditcardco easily overlooked cluttered inbox need attention grabbing format subject line getnoticed,0.9755502343177795,0.004705897998064756,0.003066454781219363,0.0029082561377435923,0.013769285753369331,reminder system,customer service,reward programme,reminder system
